id,word,base_form,derivations,level_marker,curriculum_version,notes
2402,concern,concern,,,2015,
2403,concert,concert,,*,2015,
2404,conclude,conclude,,,2015,
2405,concrete,concrete,,,2015,
2406,condemn,condemn,,**,2015,
2407,condition,condition,,*,2015,
2408,conduct,conduct,,,2015,
2409,confer,confer,,**,2015,
2410,confess,confess,,,2015,
2411,confident,confident,,,2015,
2412,confine,confine,,,2015,
2413,confirm,confirm,,,2015,
2414,conflict,conflict,,,2015,
2415,conform,conform,,,2015,
2416,confront,confront,,,2015,
2417,confuse,confuse,,,2015,
2418,congratulate,congratulate,,*,2015,
2419,congress,congress,,,2015,
2420,connect,connect,,,2015,
2421,conscience,conscience,,,2015,
2422,conscious,conscious,,,2015,
2423,consensus,consensus,,**,2015,
2424,consent,consent,,**,2015,
2425,conserve,conserve,,**,2015,
2426,consider,consider,,,2015,
2427,consist,consist,,,2015,
2428,consistent,consistent,,,2015,
2429,constant,constant,,,2015,
2430,constitute,constitute,,**,2015,
2431,constrain,constrain,,**,2015,
2432,construct,construct,,,2015,
2433,consult,consult,,,2015,
2434,consume,consume,,,2015,
2435,contact,contact,,,2015,
2436,contain,contain,,,2015,
2437,contemporary,contemporary,,**,2015,
2438,contend,contend,,**,2015,
2439,content,content,,,2015,
2440,contest,contest,,*,2015,
2441,context,context,,,2015,
2442,continent,continent,,,2015,
2443,continue,continue,,,2015,
2444,contract,contract,,,2015,
2445,contradict,contradict,,**,2015,
2446,contrary,contrary,,,2015,
2447,contrast,contrast,,,2015,
2448,contribute,contribute,,,2015,
2449,control,control,,*,2015,
2450,controversy,controversy,,,2015,
2451,convenient,convenient,,,2015,
2452,convention,convention,,**,2015,
2453,conversation,conversation,,,2015,
2454,convert,convert,,**,2015,
2455,convey,convey,,,2015,
2456,convict,convict,,,2015,
2457,convince,convince,,,2015,
2458,cook,cook,,*,2015,
2459,cool,cool,,*,2015,
2460,cooperate,cooperate,,,2015,
2461,coordinate,coordinate,,**,2015,
2462,cop,cop,,,2015,
2463,cope,cope,,,2015,
2464,copy,copy,,*,2015,
2465,copyright,copyright,,,2015,
2466,cord,cord,,,2015,
2467,core,core,,,2015,
2468,corn,corn,,,2015,
2469,corner,corner,,*,2015,
2470,corporate,corporate,,,2015,
2471,correct,correct,,,2015,
2472,correspond,correspond,,,2015,
2473,corridor,corridor,,**,2015,
2474,corrupt,corrupt,,,2015,
2475,cost,cost,,*,2015,
2476,costume,costume,,,2015,
2477,cottage,cottage,,,2015,
2478,cotton,cotton,,*,2015,
2479,couch,couch,,,2015,
2480,cough,cough,,,2015,
2481,could,could,,*,2015,
2482,council,council,,,2015,
2483,counsel,counsel,,,2015,
2484,count,count,,,2015,
2485,counter,counter,,,2015,
2486,counterpart,counterpart,,**,2015,
2487,country,country,,*,2015,
2488,countryside,countryside,,*,2015,
2489,county,county,,**,2015,
2490,couple,couple,,*,2015,
2491,courage,courage,,,2015,
2492,cousin,cousin,,*,2015,
2493,cover,cover,,*,2015,
2494,cow,cow,,*,2015,
2495,cowboy,cowboy,,,2015,
2496,crack,crack,,,2015,
2497,craft,craft,,,2015,
2498,crash,crash,,,2015,
2499,crawl,crawl,,,2015,
2500,crazy,crazy,,*,2015,
2501,create,create,,,2015,
2502,creature,creature,,,2015,
2503,credible,credible,,,2015,
2504,credit,credit,,,2015,
2505,creek,creek,,**,2015,
2506,creep,creep,,**,2015,
2507,crew,crew,,,2015,
2508,cricket,cricket,,,2015,
2509,crime,crime,,,2015,
2510,criminal,criminal,,,2015,
2511,crisis,crisis,,,2015,
2512,crisp,crisp,,,2015,
2513,criteria,criteria,,**,2015,
2514,critic,critic,,,2015,
2515,criticism,criticism,,,2015,
2516,crop,crop,,,2015,
2517,cross,cross,,*,2015,
2518,crowd,crowd,,*,2015,
2519,crown,crown,,*,2015,
2520,crucial,crucial,,,2015,
2521,cruel,cruel,,,2015,
2522,cruise,cruise,,,2015,
2523,crush,crush,,,2015,
2524,cry,cry,,*,2015,
2525,crystal,crystal,,,2015,
2526,cultivate,cultivate,,,2015,
2527,culture,culture,,*,2015,
2528,cupboard,cupboard,,,2015,
2529,cure,cure,,,2015,
2530,curious,curious,,*,2015,
2531,curl,curl,,,2015,
2532,currency,currency,,**,2015,
2533,current,current,,,2015,
2534,curriculum,curriculum,,**,2015,
2535,curry,curry,,,2015,
2536,curse,curse,,**,2015,
2537,curtain,curtain,,*,2015,
2538,curve,curve,,,2015,
2539,custody,custody,,**,2015,
2540,custom,custom,,,2015,
2541,customer,customer,,*,2015,
2542,cut,cut,,*,2015,
2543,cute,cute,,*,2015,
2544,cycle,cycle,,*,2015,
2545,cynical,cynical,,**,2015,
2547,dad,dad,,*,2015,
2548,dairy,dairy,,,2015,
2549,dam,dam,,,2015,
2550,damage,damage,,,2015,
2551,damp,damp,,,2015,
2552,dance,dance,,*,2015,
2553,danger,danger,,*,2015,
2554,dare,dare,,,2015,
2555,dark,dark,,*,2015,
2556,darling,darling,,,2015,
2557,dash,dash,,,2015,
2558,database,database,,,2015,
2559,date,date,,*,2015,
2560,daughter,daughter,,*,2015,
2561,dawn,dawn,,,2015,
2562,day,day,,*,2015,
2563,dead,dead,,*,2015,
2564,deal,deal,,,2015,
2565,death,death,,*,2015,
2566,debate,debate,,,2015,
2567,debt,debt,,,2015,
2568,decade,decade,,,2015,
2569,decay,decay,,,2015,
2570,decent,decent,,**,2015,
2571,decide,decide,,*,2015,
2572,decision,decision,,,2015,
2573,deck,deck,,,2015,
2574,declare,declare,,,2015,
2575,decline,decline,,,2015,
2576,decorate,decorate,,,2015,
2577,decrease,decrease,,,2015,
2578,dedicate,dedicate,,**,2015,
2579,deep,deep,,*,2015,
2580,defeat,defeat,,,2015,
2581,defend,defend,,,2015,
2582,defendant,defendant,,,2015,
2583,deficiency,deficiency,,**,2015,
2584,deficit,deficit,,**,2015,
2585,define,define,,,2015,
2586,definite,definite,,,2015,
2587,degrade,degrade,,**,2015,
2588,degree,degree,,,2015,
2589,delay,delay,,,2015,
2590,delegate,delegate,,**,2015,
2591,delete,delete,,,2015,
2592,deliberate,deliberate,,**,2015,
2593,delicate,delicate,,,2015,
2594,delicious,delicious,,*,2015,
2595,delight,delight,,,2015,
2596,deliver,deliver,,,2015,
2597,demand,demand,,,2015,
2598,democracy,democracy,,,2015,
2599,democrat,democrat,,,2015,
2600,demon,demon,,,2015,
2601,demonstrate,demonstrate,,,2015,
2602,dense,dense,,,2015,
2603,dentist,dentist,,*,2015,
2604,deny,deny,,,2015,
2605,department,department,,,2015,
2606,departure,departure,,,2015,
2607,depend,depend,,,2015,
2608,dependence,dependence,,,2015,
2609,depict,depict,,**,2015,
2610,deposit,deposit,,**,2015,
2611,depress,depress,,,2015,
2612,deprive,deprive,,**,2015,
2613,derive,derive,,,2015,
2614,descend,descend,,,2015,
2615,describe,describe,,,2015,
2616,description,description,,,2015,
2617,desert,desert,,,2015,
2618,deserve,deserve,,,2015,
2619,design,design,,*,2015,
2620,designate,designate,,**,2015,
2621,desire,desire,,,2015,
2622,desk,desk,,*,2015,
2623,despair,despair,,,2015,
2624,desperate,desperate,,,2015,
2625,despite,despite,,,2015,
2626,destination,destination,,,2015,
2627,destiny,destiny,,,2015,
2628,destroy,destroy,,,2015,
2629,destruction,destruction,,,2015,
2630,detach,detach,,,2015,
2631,detail,detail,,,2015,
2632,detect,detect,,,2015,
2633,determine,determine,,,2015,
2634,develop,develop,,,2015,
2635,device,device,,,2015,
2636,devil,devil,,,2015,
2637,devise,devise,,,2015,
2638,devote,devote,,,2015,
2639,diabetes,diabetes,,**,2015,
2640,diary,diary,,*,2015,
2641,dictate,dictate,,**,2015,
2642,dictionary,dictionary,,,2015,
2643,die,die,,*,2015,
2644,different,different,,*,2015,
2645,difficult,difficult,,*,2015,
2646,dig,dig,,,2015,
2647,dignity,dignity,,**,2015,
2648,dimension,dimension,,**,2015,
2649,diminish,diminish,,,2015,
2650,dine,dine,,**,2015,
2651,dinner,dinner,,*,2015,
2652,dip,dip,,,2015,
2653,diplomat,diplomat,,,2015,
2654,direct,direct,,,2015,
2655,dirty,dirty,,*,2015,
2656,disabled,disabled,,,2015,
2657,disadvantage,disadvantage,,,2015,
2658,disagree,disagree,,,2015,
2659,disappear,disappear,,,2015,
2660,disappoint,disappoint,,,2015,
2661,disaster,disaster,,,2015,
2662,discharge,discharge,,**,2015,
2663,discipline,discipline,,,2015,
2664,disclose,disclose,,,2015,
2665,discount,discount,,,2015,
2666,discourse,discourse,,**,2015,
2667,discover,discover,,,2015,
2668,discriminate,discriminate,,**,2015,
2669,discuss,discuss,,*,2015,
2670,disease,disease,,,2015,
2671,disgust,disgust,,,2015,
2672,dish,dish,,*,2015,
2673,dismiss,dismiss,,,2015,
2674,disorder,disorder,,,2015,
2675,displace,displace,,**,2015,
2676,display,display,,,2015,
2677,dispose,dispose,,,2015,
2678,dispute,dispute,,**,2015,
